"","self_spending","self_defense","self_medical","self_job","self_blacks","self_business","fed_socSecurity","fed_publicSch","fed_border","fed_crime","fed_welfare","fed_highway","fed_povertyAid","fed_environment","resid_Place","resid_identity","FT_DemParty","FT_RepParty","FT_Joe_pre","FT_Trump_pre","FT_Joe_post","FT_Trump_post","FT_rural","FT_OutParty","rural_get_more","rural_influence","rural_respect","rr_work","rr_slavery","rr_less","rr_harder","gender_factor","educ_factor","race_factor","Church_factor","PARTY","pid7","BIDEN","TRUMP"
"1",1,7,7,7,7,7,3,5,1,5,5,3,5,5,"City","Suburb Person",0,85,0,100,0,100,100,0,4,6,7,1,1,5,1,"Male","Bachelor's Degree","Hispanic",NA,"Republican",7,FALSE,FALSE
"2",3,4,4,5,4,NA,3,1,3,3,5,3,3,3,"Suburb","Suburb Person",0,50,0,0,15,15,60,0,4,6,4,3,4,4,4,"Female","Some College","Asian","Never","Independent",4,FALSE,FALSE
"3",6,1,2,4,3,1,2,1,5,3,1,2,1,1,"Suburb","Suburb Person",60,0,65,0,85,0,75,0,6,1,6,5,1,1,5,"Female","High School","White","Once or twice a month","Democrat",3,TRUE,FALSE
"4",7,4,1,7,NA,1,3,1,3,1,3,1,3,3,"Small Town","Small Town Person",50,70,70,15,100,60,NA,50,4,4,4,2,4,4,2,"Male","Some College","Asian",NA,"Republican",6,TRUE,FALSE
"5",2,4,5,7,6,4,3,5,2,1,3,2,3,3,"City","Country Person",20,70,15,85,0,90,90,20,5,6,6,1,2,5,3,"Male","Graduate Degree","Native American",NA,"Independent",4,FALSE,TRUE
"6",NA,NA,3,4,3,NA,2,1,4,3,3,1,2,1,"Suburb","City Person",85,15,85,0,100,0,85,15,4,4,4,2,2,2,4,"Female","Some College","White",NA,"Democrat",3,TRUE,FALSE
"7",7,7,1,7,7,5,1,1,1,1,2,1,1,3,"Small Town","Small Town Person",15,75,50,75,0,70,70,15,4,4,6,1,5,5,1,"Female","Some College","White",NA,"Republican",6,FALSE,TRUE
"8",7,7,7,7,7,NA,3,3,3,3,3,3,3,3,"Small Town","City Person",50,100,50,100,50,0,50,50,4,4,4,1,5,5,5,"Female","High School","White","Every week","Republican",6,FALSE,FALSE
"9",6,NA,6,NA,NA,NA,2,3,3,2,3,2,3,3,"Small Town","City Person",NA,NA,85,0,85,0,NA,NA,4,2,4,2,3,3,3,"Female","High School","White",NA,"Independent",4,FALSE,FALSE
"10",4,4,3,NA,4,NA,2,1,3,2,3,2,2,3,"Suburb","Something else",60,50,85,0,70,30,50,50,6,4,4,1,2,5,3,"Male","Some College","Hispanic",NA,"Democrat",2,TRUE,FALSE
"11",7,7,1,1,1,1,1,1,3,1,1,1,3,1,"City","City Person",100,0,100,0,100,0,NA,0,3,5,6,4,2,2,2,"Female","High School","Hispanic",NA,"Democrat",1,TRUE,FALSE
"12",NA,NA,6,4,7,1,3,1,3,2,3,3,3,3,"Small Town","Small Town Person",50,30,60,0,70,0,70,30,4,4,4,4,2,2,5,"Male","High School","White","Almost every week","Democrat",2,TRUE,FALSE
"13",NA,3,3,4,7,4,1,2,1,1,2,3,3,3,"City","Small Town Person",0,85,0,100,0,100,50,0,4,4,4,3,3,3,3,"Female","High School","White",NA,"Republican",7,FALSE,TRUE
"14",4,4,3,4,3,1,3,1,4,3,3,3,2,1,"Suburb","Suburb Person",85,0,85,0,85,0,45,0,4,4,4,4,2,1,3,"Male","Graduate Degree","Asian","Almost every week","Democrat",2,FALSE,FALSE
"15",7,4,3,1,1,NA,2,3,2,3,3,3,3,3,"Small Town","Country Person",60,40,60,40,70,40,NA,40,4,4,4,2,5,4,2,"Female","Some College","Black",NA,"Democrat",3,FALSE,FALSE
"16",4,6,4,4,4,NA,2,1,1,1,3,1,2,3,"Small Town","Small Town Person",0,100,0,100,0,100,NA,0,4,6,4,2,5,4,2,"Male","Some College","Hispanic",NA,"Republican",5,FALSE,FALSE
"17",4,4,1,5,4,3,1,1,3,2,3,3,3,2,"Suburb","Suburb Person",40,30,60,0,60,0,70,30,4,2,5,4,2,3,4,"Male","Bachelor's Degree","White",NA,"Democrat",3,TRUE,FALSE
"18",5,2,3,3,3,3,3,2,4,3,3,2,2,1,"Small Town","Small Town Person",85,16,85,0,85,0,85,16,4,4,4,4,2,2,4,"Male","Bachelor's Degree","White",NA,"Democrat",1,FALSE,FALSE
"19",4,3,3,6,6,4,2,4,3,3,3,3,3,1,"Suburb","City Person",85,0,85,15,85,15,40,0,4,3,4,1,2,2,4,"Female","Bachelor's Degree","White","Almost every week","Democrat",1,TRUE,FALSE
